city,lat,humidity,temp,wind,clouds,wind
takapau,-40.03,90,52.0,14.0,0,14.0
necochea,-38.55,88,39.99,15.01,91,15.01
vanimo,-2.67,79,79.63,5.48,92,5.48
karratha,-20.74,46,65.71,12.35,0,12.35
praya,14.92,78,80.6,11.41,75,11.41
fairview,40.81,83,82.99,7.11,20,7.11
alekseyevka,50.63,78,58.86,2.35,24,2.35
kurchum,48.57,90,64.49,7.43,100,7.43
riyadh,24.69,28,96.8,3.36,0,3.36
olafsvik,64.89,66,47.08,15.1,48,15.1
ahuimanu,21.44,65,87.8,14.99,40,14.99
gambela,8.25,90,69.55,2.73,100,2.73
halifax,44.65,54,80.6,11.41,75,11.41
zhigansk,66.77,68,64.09,10.58,71,10.58
fortuna,40.6,72,64.99,16.11,20,16.11
cozumel,20.51,66,88.0,13.87,75,13.87
sola,-13.88,88,80.6,11.41,40,11.41
karari,25.45,68,84.09,8.48,95,8.48
namibe,-15.2,85,67.1,7.05,0,7.05
grindavik,63.84,70,46.4,23.04,20,23.04
aswan,24.09,18,90.88,10.09,11,10.09
praxedis guerrero,31.37,42,89.6,3.36,40,3.36
bubaque,11.28,83,80.22,15.9,100,15.9
saint-francois,46.42,67,63.0,2.24,0,2.24
mmathubudukwane,-24.6,54,53.6,6.93,0,6.93
tatvan,38.51,41,69.58,7.49,3,7.49
ola,59.58,76,57.92,6.58,84,6.58
vostok,46.49,94,61.11,1.52,50,1.52
touros,-5.2,78,77.0,6.93,20,6.93
sept-iles,50.2,47,77.0,12.75,75,12.75
kavieng,-2.57,75,84.13,15.19,37,15.19
ranong,9.97,84,78.94,2.77,73,2.77
kahului,20.89,55,87.8,27.51,20,27.51
ugoofaaru,5.67,78,82.18,17.4,91,17.4
asuncion,-25.3,87,53.6,10.29,90,10.29
tuatapere,-46.13,85,46.6,6.67,100,6.67
along,28.17,89,73.51,0.45,100,0.45
mae sai,20.43,100,77.0,0.92,20,0.92
emmaus,40.54,74,82.99,6.93,40,6.93
mariental,-24.63,42,52.65,12.24,0,12.24
neftcala,39.37,68,79.02,4.29,96,4.29
kysyl-syr,63.9,88,64.22,3.69,98,3.69
ozu,33.5,94,77.0,5.82,75,5.82
port lincoln,-34.73,89,50.14,3.49,0,3.49
pinawa,50.15,45,91.04,14.05,6,14.05
hovd,48.01,57,64.04,1.92,0,1.92
blagoyevo,63.37,95,56.44,0.83,52,0.83
pareora,-44.49,59,44.33,4.38,4,4.38
sakakah,29.97,12,93.2,6.93,0,6.93
ulaanbaatar,47.91,82,64.4,11.18,75,11.18
lincoln,40.8,55,91.4,19.46,20,19.46
kuybyshevo,47.81,54,64.17,5.61,48,5.61
srednekolymsk,67.45,32,82.45,6.71,65,6.71
libreville,0.39,78,78.8,8.05,20,8.05
constitucion,-35.33,72,48.29,5.48,0,5.48
coahuayana,18.73,74,82.4,11.41,90,11.41
kampene,-3.6,48,71.56,1.59,22,1.59
barrhead,55.8,87,57.2,9.17,97,9.17
alofi,-19.06,78,77.0,17.22,75,17.22
wanxian,30.8,82,79.97,4.72,75,4.72
slave lake,55.28,63,62.6,6.93,90,6.93
carrickfergus,54.72,100,63.0,9.17,100,9.17
souillac,-20.52,56,68.0,16.11,75,16.11
muros,42.78,80,64.99,1.99,0,1.99
stornoway,58.21,89,55.99,8.93,100,8.93
lagoa,39.05,77,70.09,10.87,0,10.87
chokurdakh,70.63,53,73.15,7.07,24,7.07
boueni,-12.9,61,77.0,24.16,39,24.16
kurlovo,55.43,96,50.47,3.91,28,3.91
schoneiche,52.47,64,72.0,8.05,39,8.05
tokonou,9.65,97,70.92,5.12,100,5.12
santa rosa,14.31,88,80.01,2.75,86,2.75
estrela,-28.06,86,58.87,4.25,79,4.25
tecoanapa,16.52,64,87.01,10.02,1,10.02
kalabo,-14.97,53,54.82,7.65,0,7.65
saint anthony,45.02,52,91.99,11.41,40,11.41
macas,-2.32,94,68.0,4.7,75,4.7
shimoni,-4.65,73,75.72,17.78,15,17.78
manokwari,-0.87,74,79.52,1.12,89,1.12
takoradi,4.88,86,75.6,9.95,42,9.95
atar,20.52,21,100.04,9.19,0,9.19
hasaki,35.73,100,75.2,1.12,75,1.12
debre birhan,9.68,91,52.05,2.17,43,2.17
dorohoi,47.95,72,66.2,4.7,21,4.7
peace river,56.25,52,64.4,10.29,20,10.29
port blair,11.67,78,81.21,4.12,36,4.12
hinton,53.4,46,63.34,4.07,94,4.07
norman wells,65.28,40,69.8,12.75,20,12.75
leh,34.17,36,60.96,4.12,0,4.12
sibolga,1.74,74,76.41,3.4,75,3.4
casper,42.87,26,87.01,12.75,1,12.75
tafresh,34.69,36,70.45,4.29,59,4.29
iralaya,15.0,74,86.0,5.82,40,5.82
charters towers,-20.1,86,60.24,4.94,0,4.94
batagay-alyta,67.8,47,71.17,3.36,21,3.36
opuwo,-18.06,39,54.82,7.2,0,7.2
ushtobe,45.25,64,70.07,6.24,96,6.24
auki,-8.77,74,83.35,7.23,20,7.23
praia da vitoria,38.73,68,71.6,3.44,20,3.44
jacareacanga,-6.22,54,82.85,1.28,43,1.28
stokmarknes,68.56,82,57.2,8.05,75,8.05
harper,4.38,85,75.56,10.42,77,10.42
whitehorse,60.72,37,68.0,8.05,75,8.05
hami,42.8,36,75.78,5.26,0,5.26
luderitz,-26.65,22,69.8,9.17,0,9.17
porto novo,6.5,88,77.0,9.17,20,9.17
nichinan,31.6,88,75.2,8.05,75,8.05
misratah,32.38,72,78.06,4.85,0,4.85
sonoma,38.55,44,82.0,9.17,1,9.17
upernavik,72.79,79,46.65,2.24,58,2.24
kamojima,34.07,88,77.0,17.22,90,17.22
jizan,17.33,79,89.6,12.75,40,12.75
tawang,27.58,72,54.14,3.76,79,3.76
wenling,28.37,91,78.01,3.11,100,3.11
hargeysa,9.56,61,69.64,24.05,5,24.05
bonfim,3.08,77,81.43,4.32,99,4.32
brigham city,41.51,14,88.0,9.17,1,9.17
spring valley,36.11,10,102.0,9.17,40,9.17
bingol,38.88,28,74.17,4.09,3,4.09
chino valley,34.76,77,82.99,16.11,90,16.11
avera,33.19,44,93.2,4.7,1,4.7
kondopoga,62.21,87,50.0,4.47,0,4.47
khakurinokhabl,45.02,41,71.02,11.01,53,11.01
jenks,36.02,48,95.0,1.01,21,1.01
beringovskiy,63.05,66,54.41,7.07,84,7.07
kjopsvik,68.1,87,55.99,2.24,100,2.24
revelstoke,50.98,82,59.0,3.36,75,3.36
barberton,-25.79,93,53.6,1.81,10,1.81
sabha,27.04,21,81.54,9.24,0,9.24
gondanglegi,-7.75,78,70.77,14.7,99,14.7
bima,-8.47,88,68.09,4.29,12,4.29
ayagoz,47.97,82,63.79,10.18,75,10.18
alenquer,-1.94,66,87.8,6.93,20,6.93
shama,33.61,79,64.65,2.46,100,2.46
suntar,62.14,85,64.54,3.53,41,3.53
pervomayskiy,53.25,89,53.44,3.8,27,3.8
saldanha,-33.01,61,50.0,2.24,0,2.24
bilibino,68.05,55,75.9,6.4,5,6.4
george,-33.96,23,64.4,4.7,0,4.7
meulaboh,4.14,89,75.78,4.07,91,4.07
griffith,41.53,54,84.0,3.36,1,3.36
bedesa,8.9,85,63.39,4.88,63,4.88
hoa binh,20.81,83,82.4,5.82,35,5.82
lompoc,34.64,64,70.0,13.87,10,13.87
westport,41.14,65,80.01,6.93,1,6.93
bahia blanca,-38.72,69,40.03,9.44,25,9.44
omboue,-1.57,80,73.8,8.48,66,8.48
puerto del rosario,28.5,69,75.2,12.75,20,12.75
wisconsin rapids,44.38,54,84.0,6.93,1,6.93
jieshi,22.81,84,83.71,10.09,100,10.09
salinopolis,-0.61,81,80.31,12.64,85,12.64
oranjestad,12.52,66,87.8,24.16,20,24.16
braganca,-1.05,85,76.6,3.58,96,3.58
esil,51.96,91,62.15,14.61,97,14.61
acapulco,16.86,66,87.8,8.05,40,8.05
ormara,25.21,82,83.98,14.99,75,14.99
tabuk,17.42,87,73.98,2.46,51,2.46
almeirim,-1.52,73,80.28,2.8,43,2.8
bonthe,7.53,84,76.23,11.25,99,11.25
makakilo city,21.35,51,87.8,6.93,75,6.93
pangnirtung,66.15,81,50.0,5.82,90,5.82
hosakote,14.28,92,71.06,7.45,100,7.45
hobyo,5.35,75,77.22,26.49,78,26.49
mamakan,57.82,75,64.42,3.42,41,3.42
kragero,58.87,93,55.4,4.7,0,4.7
bolobo,-2.17,48,78.3,0.11,32,0.11
petropavl,54.88,70,54.34,7.31,100,7.31
luena,-11.78,45,51.39,3.49,0,3.49
nalut,30.33,19,79.14,11.77,0,11.77
eureka,40.8,58,68.0,1.01,26,1.01
manggar,-2.88,81,79.65,11.65,65,11.65
victor harbor,-35.57,92,41.0,5.44,10,5.44
san gabriel,34.1,42,86.0,10.29,1,10.29
north platte,41.12,41,96.8,20.8,20,20.8
katsina,12.99,66,81.14,7.87,42,7.87
san cristobal,7.77,46,89.6,16.11,40,16.11
ust-nera,64.57,31,81.82,2.75,1,2.75
bonavista,48.65,97,56.8,6.24,100,6.24
sobradinho,-12.83,91,65.91,4.0,18,4.0
ugra,54.78,94,49.03,3.24,1,3.24
mullheim,47.81,66,64.99,3.0,1,3.0
tomatlan,19.93,67,85.14,10.4,87,10.4
klaksvik,62.23,100,50.0,8.05,100,8.05
assiniboia,49.63,28,85.44,14.34,0,14.34
pueblo,38.25,19,96.8,3.36,1,3.36
shu,43.6,78,66.6,6.67,24,6.67
dalvik,65.97,65,46.4,8.05,75,8.05
tilichiki,60.47,55,62.62,4.36,0,4.36
hofn,64.25,59,51.26,8.68,58,8.68
port-cartier,50.03,47,77.0,12.75,75,12.75
fort nelson,58.81,53,71.6,9.17,75,9.17
neiafu,-18.65,78,78.8,9.17,40,9.17
brainerd,46.36,55,91.4,17.22,1,17.22
montbrison,45.67,56,69.8,4.54,9,4.54
sao filipe,14.9,80,77.05,3.96,31,3.96
puerto colombia,10.99,79,84.2,6.93,75,6.93
wuwei,37.93,78,66.0,4.9,88,4.9
vasto,42.12,78,71.6,1.12,26,1.12
les cayes,18.2,71,83.25,12.73,75,12.73
agua verde,22.9,59,89.6,11.41,20,11.41
khorramshahr,30.44,75,93.2,9.17,0,9.17
chiman,32.55,74,86.0,4.7,0,4.7
provideniya,64.38,65,50.36,6.06,100,6.06
samarai,-10.62,86,79.47,13.04,31,13.04
san patricio,19.22,74,86.0,11.41,75,11.41
akhmim,26.56,35,87.8,2.24,0,2.24
bathsheba,13.22,74,84.2,19.46,40,19.46
macultepec,18.17,59,91.4,6.93,40,6.93
roma,43.21,48,84.99,6.93,1,6.93
mandalgovi,45.76,74,63.99,2.51,100,2.51
anadyr,64.75,48,64.4,13.42,54,13.42
huancavelica,-12.77,42,48.92,11.97,36,11.97
bugiri,0.57,84,64.31,3.04,40,3.04
ranfurly,-45.13,76,37.33,4.7,80,4.7
maputo,-25.97,93,60.8,3.36,40,3.36
nome,64.5,76,57.0,4.7,90,4.7
vakhrushev,48.98,86,53.28,5.35,98,5.35
progreso,21.28,59,95.0,4.7,75,4.7
kieta,-6.22,78,82.17,6.85,100,6.85
dakar,14.69,88,82.4,4.7,20,4.7
krasnogvardeyskoye,45.85,40,70.09,9.86,80,9.86
ostersund,63.18,100,46.4,14.99,90,14.99
ust-kut,56.79,88,51.87,1.23,23,1.23
gornyy,55.12,78,54.28,4.72,100,4.72
margate,51.38,80,66.0,5.01,84,5.01
crixas,-14.55,33,78.37,6.35,2,6.35
martapura,-3.42,94,71.6,1.12,94,1.12
sisimiut,66.94,83,48.74,4.7,92,4.7
valparaiso,-33.04,54,60.8,5.82,0,5.82
sobolevo,54.43,84,51.3,6.46,49,6.46
kampong thum,12.71,96,73.69,4.63,100,4.63
cap malheureux,-19.98,50,68.0,7.0,26,7.0
braintree,51.88,78,66.0,6.76,100,6.76
puerto ayacucho,5.66,69,82.4,1.79,40,1.79
tres arroyos,-38.37,76,37.85,10.07,99,10.07
kirakira,-10.45,78,82.85,13.58,29,13.58
chamba,32.57,66,73.04,0.87,57,0.87
longhua,23.61,82,79.41,1.74,100,1.74
nara,34.69,94,75.2,6.93,75,6.93
phan thiet,10.93,86,75.33,3.6,47,3.6
sunyani,7.34,98,70.52,5.12,98,5.12
southbridge,42.08,74,82.0,1.25,99,1.25
morehead,37.27,70,87.8,3.31,40,3.31
texarkana,33.43,55,91.4,6.93,20,6.93
linda,39.13,33,95.0,5.82,1,5.82
college,64.86,55,64.4,3.36,90,3.36
khandyga,62.67,52,73.04,2.82,0,2.82
port augusta,-32.5,100,41.0,5.82,9,5.82
susehri,40.16,78,59.99,3.47,2,3.47
jining,35.41,90,70.95,1.25,63,1.25
talaya,61.38,44,70.68,2.35,70,2.35
majene,-3.54,87,74.84,10.63,66,10.63
frolovo,49.77,63,60.89,6.02,1,6.02
naantali,60.47,93,51.8,4.7,45,4.7
tricase,39.93,69,80.01,4.99,5,4.99
pakxan,18.38,86,76.71,2.44,0,2.44
caraquet,47.79,28,86.0,10.29,1,10.29
christchurch,-43.53,100,51.01,3.36,0,3.36
petropavlovsk-kamchatskiy,53.05,93,53.6,2.24,90,2.24
half moon bay,37.46,87,78.01,6.93,75,6.93
san remigio,11.08,80,80.42,4.45,100,4.45
doha,25.29,67,93.2,8.05,29,8.05
remanso,-9.62,56,76.42,8.41,34,8.41
bud,39.45,54,84.0,4.45,75,4.45
san pedro,14.35,88,80.01,2.57,92,2.57
ahipara,-35.17,63,54.99,9.42,29,9.42
berlevag,70.86,93,60.8,13.87,21,13.87
mayumba,-3.43,84,71.89,5.55,30,5.55
erenhot,43.65,49,77.54,19.89,100,19.89
kitale,1.02,94,54.93,0.43,66,0.43
oga,46.46,93,57.99,1.12,75,1.12
zyryanka,65.75,37,78.96,7.96,61,7.96
belyy yar,53.6,87,55.4,6.71,97,6.71
dawson creek,55.77,55,60.8,16.11,75,16.11
concepcion,-36.83,71,51.8,6.93,90,6.93
chicama,-7.84,72,66.79,10.47,39,10.47
bandarbeyla,9.49,81,75.49,28.97,3,28.97
aksarka,66.56,90,49.53,7.14,2,7.14
rio cuarto,-33.13,20,55.4,14.99,0,14.99
san benito,16.91,50,92.34,2.89,97,2.89
plettenberg bay,-34.05,26,66.56,8.3,0,8.3
